[2026-08-17T15:18:22+08:00] 
[2026-08-17T15:18:22+08:00] --- Live capture log started at 2026-08-17T15:18:22+08:00: /home/rgmtc/Desktop/Radar-UREx/rawdatacapture/livedatacapture.log ---
[2026-08-17T15:18:22+08:00] Classification requested: device=cuda, artifacts=/home/rgmtc/Desktop/Radar-UREx/model_weights
[2026-08-17T15:18:22+08:00] Loaded radar config: RadarCaptureConfig(num_adc_samples=64, num_rx_channels=4, num_chirps_per_frame=384, bytes_per_frame=393216, iq_swap=True, channel_interleave=False, lvds_lanes=2, num_loops=128, num_chirps_per_loop=3, tx_channel_masks=(1, 4, 2), sample_rate_ksps=5000.0, frequency_slope_mhz_per_us=60.0, start_frequency_ghz=60.0, idle_time_us=7.0, ramp_end_time_us=32.0, frame_periodicity_ms=33.33, range_bias_m=0.1190787, rx_channel_compensation=((0.87565+0j), (-0.68629+0.13133j), (-0.68101+0.28645j), (0.7752-0.03156j), (0.51658-0.59936j), (-0.32232+0.66024j), (-0.23342+0.86559j), (0.39294-0.76367j), (0.44868-0.89369j), (-0.14162+0.77765j), (0.0345+0.84329j), (0.41645-0.86571j)), azimuth_bias_deg=-2.972753, elevation_bias_deg=0.1000456)
[2026-08-17T15:18:23+08:00] DSP backend: OpenRadar (/home/rgmtc/Desktop/Radar-UREx/.venv/lib/python3.12/site-packages/mmwave/dsp/__init__.py)
[2026-08-17T15:18:23+08:00] Loaded capture setup: CaptureSetupConfig(packet_sequence_enable=True, packet_delay_us=50, capture_hardware='DCA1000', config_used='D:\\Library\\Documents\\GitHub\\Radar-UREx\\rawdatacapture\\exp2.mmwave.json')
[2026-08-17T15:18:27+08:00] Live display ready: backend=PyQtGraph/xcb, DISPLAY=:0, screen=DP-0, geometry=1200x700+360+173.
[2026-08-17T15:18:29+08:00] Using cached TensorRT FP16 engine: /home/rgmtc/Desktop/Radar-UREx/model_weights/generated/model_sm87_fp16.engine
[2026-08-17T15:18:29+08:00] CNN classification enabled: artifacts=/home/rgmtc/Desktop/Radar-UREx/model_weights, device=cuda, threshold=0.457573, negative_training_class=bionic_bird
[2026-08-17T15:18:29+08:00] Saving processed radar output to /home/rgmtc/Desktop/Radar-UREx/dataset/processed_capture_2026_08_17T15_18_21.jsonl
[2026-08-17T15:18:29+08:00] Clutter map enabled: warmup_update_rate=0.02, warmup=30 updates, minimum_snr=3 dB, post_warmup_updates=disabled
[2026-08-17T15:18:29+08:00] Static scene detection enabled: warmup=30 updates, reference=150 updates, minimum_change=3 dB, learned_noise_multiplier=2x, handoff_distance=0.4 m, background_update_rate=0. Keep the target absent until calibration is complete.
[2026-08-17T15:18:29+08:00] Radar frame processor ready.
[2026-08-17T15:18:29+08:00] Listening for live radar stream on 192.168.33.30:4098; bytes_per_frame=393216
[2026-08-17T15:18:29+08:00] DCA1000 setup: packet_sequence_enable=True, packet_delay_us=50
[2026-08-17T15:18:29+08:00] UDP socket receive buffer: requested=4194304B, actual=425984B
[2026-08-17T15:18:29+08:00] WARNING: The operating system granted less UDP receive buffering than requested. On Linux, raise the limit before capture with 'sudo sysctl -w net.core.rmem_max=4194304'.
[2026-08-17T15:18:29+08:00] UDP packet queue capacity: 8192 datagrams
[2026-08-17T15:18:29+08:00] Trigger frames now. Press Ctrl+C to stop.
[2026-08-17T15:18:47+08:00] stats: packets=127133, frames=470, invalid_frames=0, lost_packets=8, out_of_order=0, duplicates=0, byte_gaps=1/11648B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=0
[2026-08-17T15:18:47+08:00] stats: packets=127194, frames=471, invalid_frames=1, lost_packets=8, out_of_order=0, duplicates=0, byte_gaps=1/11648B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=0
[2026-08-17T15:18:51+08:00] stats: packets=159872, frames=592, invalid_frames=1, lost_packets=8, out_of_order=0, duplicates=0, byte_gaps=1/11648B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=1
[2026-08-17T15:18:51+08:00] stats: packets=160952, frames=596, invalid_frames=1, lost_packets=8, out_of_order=0, duplicates=0, byte_gaps=1/11648B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=2
[2026-08-17T15:18:52+08:00] stats: packets=162032, frames=600, invalid_frames=1, lost_packets=8, out_of_order=0, duplicates=0, byte_gaps=1/11648B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=3
[2026-08-17T15:18:52+08:00] stats: packets=163652, frames=606, invalid_frames=1, lost_packets=8, out_of_order=0, duplicates=0, byte_gaps=1/11648B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=4
[2026-08-17T15:18:52+08:00] stats: packets=165003, frames=611, invalid_frames=1, lost_packets=8, out_of_order=0, duplicates=0, byte_gaps=1/11648B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=5
[2026-08-17T15:18:52+08:00] stats: packets=166083, frames=615, invalid_frames=1, lost_packets=8, out_of_order=0, duplicates=0, byte_gaps=1/11648B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=6
[2026-08-17T15:18:52+08:00] stats: packets=166561, frames=616, invalid_frames=1, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=6
[2026-08-17T15:18:52+08:00] stats: packets=166606, frames=617, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=6
[2026-08-17T15:18:52+08:00] stats: packets=167957, frames=622, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=7
[2026-08-17T15:18:53+08:00] stats: packets=169307, frames=627, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=8
[2026-08-17T15:18:53+08:00] stats: packets=170387, frames=631, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=9
[2026-08-17T15:18:53+08:00] stats: packets=171467, frames=635, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=10
[2026-08-17T15:18:53+08:00] stats: packets=172548, frames=639, invalid_frames=2, lost_packets=25, out_of_order=0, duplicates=0, byte_gaps=2/36400B, stream_resyncs=0, byte_overlaps=0/0B, malformed=0, receiver_queue_drops=0, processing_drops=11
